epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8342,1.7154,3.88095,2.13191,0.75939,0.71555,0.75608,0.38784,1.73313,1.53408,1.93904,0.000322287,0.000322287,0.000322287
2,22.3759,1.41093,2.04374,1.80088,0.01447,0.7229,0.01318,0.00603,1.781,157.339,2.09028,0.000647573,0.000647573,0.000647573
3,30.661,1.34795,1.46063,1.75777,0.0371,0.58931,0.03848,0.02298,1.54235,28.6335,1.93479,0.000964607,0.000964607,0.000964607
4,39.03,1.35207,1.3946,1.73132,0.46491,0.62254,0.51194,0.26193,1.72539,4.12721,2.09008,0.00127339,0.00127339,0.00127339
5,47.3745,1.34127,1.53385,1.68483,0.90698,0.65111,0.74579,0.43717,1.38552,1.72012,1.69149,0.00157392,0.00157392,0.00157392
6,55.6188,1.33367,1.34676,1.71518,0.81534,0.81444,0.85536,0.4928,1.34935,1.11823,1.66076,0.00156385,0.00156385,0.00156385
7,64.0234,1.28718,1.14507,1.6767,0.87224,0.81968,0.86589,0.45429,1.56733,1.66788,1.86318,0.00154323,0.00154323,0.00154323
8,72.3966,1.26598,1.25131,1.67211,0.88332,0.76899,0.85696,0.467,1.48025,0.97001,1.73106,0.0015226,0.0015226,0.0015226
9,80.8184,1.26608,1.00035,1.63921,0.82453,0.85817,0.87742,0.43371,1.55702,1.27533,1.78108,0.00150197,0.00150197,0.00150197
10,89.1727,1.27143,0.92357,1.6355,0.87903,0.88179,0.91867,0.52784,1.34399,0.80022,1.59361,0.00148134,0.00148134,0.00148134
11,97.6,1.2153,0.87964,1.59032,0.85338,0.82673,0.83223,0.43706,1.56838,0.99121,1.80577,0.00146071,0.00146071,0.00146071
12,108.186,1.2636,0.85219,1.61486,0.89732,0.80419,0.89409,0.54283,1.31699,0.832,1.57973,0.00144008,0.00144008,0.00144008
13,120.672,1.16671,0.77848,1.53789,0.90039,0.849,0.88759,0.49236,1.49066,0.85062,1.77274,0.00141945,0.00141945,0.00141945
14,131.031,1.23999,0.81901,1.62929,0.91291,0.84818,0.89169,0.50663,1.45377,0.8109,1.72299,0.00139882,0.00139882,0.00139882
