zone,track_id,class_id,class_name,dwell_frames,dwell_seconds
front_vat_staging,1,1,vat,4345,724.167
front_vat_staging,2,1,vat,4276,712.667
front_vat_staging,3,0,person,47,7.833
front_vat_staging,4,0,person,429,71.5
front_vat_staging,4,1,vat,4,0.667
front_vat_staging,15,0,person,47,7.833
front_vat_staging,22,0,person,29,4.833
front_vat_staging,40,0,person,6,1.0
front_vat_staging,49,0,person,88,14.667
front_vat_staging,50,0,person,7,1.167
front_vat_staging,57,0,person,9,1.5
front_vat_staging,66,0,person,73,12.167
front_vat_staging,111,1,vat,6659,1109.833
front_vat_staging,218,1,vat,2,0.333
front_vat_staging,239,0,person,25,4.167
front_vat_staging,260,0,person,6,1.0
front_vat_staging,272,0,person,18,3.0
front_vat_staging,280,0,person,11,1.833
front_vat_staging,330,0,person,7,1.167
front_vat_staging,333,0,person,28,4.667
front_vat_staging,340,0,person,5,0.833
front_vat_staging,382,0,person,5,0.833
front_vat_staging,412,0,person,16,2.667
front_vat_staging,503,0,person,5,0.833
front_vat_staging,532,0,person,1,0.167
front_vat_staging,549,0,person,25,4.167
front_vat_staging,559,0,person,28,4.667
front_vat_staging,562,0,person,16,2.667
front_vat_staging,563,0,person,106,17.667
front_vat_staging,566,0,person,20,3.333
front_vat_staging,582,0,person,7,1.167
front_vat_staging,606,0,person,7,1.167
front_vat_staging,611,0,person,14,2.333
front_vat_staging,632,0,person,2,0.333
front_vat_staging,647,0,person,3,0.5
front_vat_staging,667,0,person,37,6.167
front_vat_staging,697,0,person,2,0.333
front_vat_staging,699,0,person,64,10.667
front_vat_staging,713,0,person,22,3.667
front_vat_staging,789,0,person,219,36.5
front_vat_staging,829,0,person,7,1.167
front_vat_staging,841,0,person,1,0.167
front_vat_staging,847,0,person,20,3.333
front_vat_staging,876,0,person,4,0.667
front_vat_staging,890,0,person,2,0.333
front_vat_staging,892,0,person,1,0.167
front_vat_staging,895,0,person,3,0.5
front_vat_staging,897,0,person,3,0.5
front_vat_staging,907,0,person,2,0.333
front_vat_staging,911,0,person,66,11.0
front_vat_staging,945,0,person,2,0.333
front_vat_staging,956,0,person,2,0.333
front_vat_staging,970,0,person,2,0.333
front_vat_staging,979,0,person,4,0.667
front_vat_staging,999,0,person,1,0.167
front_vat_staging,1006,0,person,1,0.167
front_vat_staging,1007,0,person,32,5.333
front_vat_staging,1038,0,person,10,1.667
front_vat_staging,1052,0,person,2,0.333
front_vat_staging,1073,0,person,44,7.333
front_vat_staging,1253,0,person,3,0.5
front_vat_staging,1334,0,person,36,6.0
front_vat_staging,1478,0,person,1,0.167
front_vat_staging,1487,0,person,1,0.167
front_vat_staging,1533,0,person,15,2.5
front_vat_staging,1545,0,person,13,2.167
front_vat_staging,1583,0,person,3,0.5
front_vat_staging,1586,0,person,8,1.333
front_vat_staging,1629,0,person,3,0.5
front_vat_staging,1647,0,person,16,2.667
front_vat_staging,1654,0,person,1,0.167
front_vat_staging,1659,0,person,12,2.0
front_vat_staging,1690,0,person,4,0.667
front_vat_staging,1691,0,person,99,16.5
front_vat_staging,1740,0,person,5,0.833
front_vat_staging,1740,1,vat,2721,453.5
front_vat_staging,1768,0,person,1,0.167
front_vat_staging,1772,0,person,17,2.833
front_vat_staging,1786,0,person,76,12.667
front_vat_staging,1792,0,person,37,6.167
front_vat_staging,1816,0,person,1,0.167
front_vat_staging,1818,0,person,201,33.5
front_vat_staging,1818,1,vat,1,0.167
front_vat_staging,1845,0,person,6,1.0
front_vat_staging,1860,0,person,2,0.333
front_vat_staging,1862,0,person,1,0.167
front_vat_staging,1867,0,person,6,1.0
front_vat_staging,1869,0,person,6,1.0
front_vat_staging,1887,0,person,130,21.667
front_vat_staging,1906,0,person,12,2.0
front_vat_staging,1911,0,person,33,5.5
