frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
1,1,0.0,00:00:00,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
2,2,0.167,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0.333,00:00:00,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
4,4,0.5,00:00:00,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
5,5,0.667,00:00:00,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
6,6,0.833,00:00:00,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
7,7,1.0,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
8,8,1.167,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
9,9,1.333,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
10,10,1.5,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
11,11,1.667,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
12,12,1.833,00:00:01,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
13,13,2.0,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
14,14,2.167,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
15,15,2.333,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
16,16,2.5,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
17,17,2.667,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
18,18,2.833,00:00:02,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
19,19,3.0,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
20,20,3.167,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
21,21,3.333,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
22,22,3.5,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
23,23,3.667,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
24,24,3.833,00:00:03,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
25,25,4.0,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
26,26,4.167,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
27,27,4.333,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
28,28,4.5,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
29,29,4.667,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
30,30,4.833,00:00:04,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
31,31,5.0,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
32,32,5.167,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
33,33,5.333,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
34,34,5.5,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
35,35,5.667,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
36,36,5.833,00:00:05,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
37,37,6.0,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
38,38,6.167,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
39,39,6.333,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
40,40,6.5,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
41,41,6.667,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
42,42,6.833,00:00:06,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
43,43,7.0,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
44,44,7.167,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
45,45,7.333,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
46,46,7.5,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
47,47,7.667,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
48,48,7.833,00:00:07,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
49,49,8.0,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
50,50,8.167,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
51,51,8.333,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
52,52,8.5,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
53,53,8.667,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
54,54,8.833,00:00:08,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
55,55,9.0,00:00:09,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
56,56,9.167,00:00:09,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
