clip,zone,track_id,class_id,class_name,dwell_frames,dwell_seconds
clip_A,front_vat_staging,2,1,vat,180,30.0
clip_A,front_vat_staging,3,1,vat,180,30.0
clip_A,front_vat_staging,4,0,person,2,0.333
clip_A,front_vat_staging,6,0,person,60,10.0
clip_A,machine_service_area,1,1,vat,180,30.0
clip_A,machine_service_area,4,0,person,4,0.667
clip_A,rack_buffer_area,5,0,person,69,11.5
clip_A,rack_buffer_area,8,0,person,181,30.167
clip_A,right_loading_area,4,0,person,70,11.667
clip_A,right_loading_area,6,0,person,107,17.833
clip_B,front_vat_staging,1,1,vat,180,30.0
clip_B,front_vat_staging,2,0,person,165,27.5
clip_B,front_vat_staging,3,1,vat,180,30.0
clip_B,front_vat_staging,4,0,person,34,5.667
clip_B,machine_service_area,2,0,person,14,2.333
clip_B,machine_service_area,4,0,person,23,3.833
clip_B,right_loading_area,4,0,person,122,20.333
clip_B,right_loading_area,5,0,person,180,30.0
